CultIndex,Individual ID (paper),delta13ccol,delta15n,delata13ccar,C/N,time (RC uncalibrated),time error,period name,TimeID,period age range,PhaseID,PeriodBP,PeriodBP2,age (paper),Setting,sex,NsexDif,CsexDif,Region,Location (paper),Estimated Latitude,Estimated Longitude,material,body part,Region,location,reference
0.62,NF-129,-14.5,10.9,,3.4,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Old Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-133,-9,11.2,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,0-1 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-135,-11.4,13.9,,3.5,,,Oneota,5,1250-1560 CE,Malthusian,500,500,1-2 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-139,-12,10.4,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Old Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-144,-15.2,10.1,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Neonate,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-150,-8.2,13.1,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,1-2 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-152,-8.1,9.2,,3.4,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Neonate,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-154,-13.2,9.5,,3.4,,,Oneota,5,1250-1560 CE,Malthusian,500,500,5-15 Years,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-162,-11.3,11,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,1-2 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-173,-10.7,12.2,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,0-1 year old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-174,-13.7,10.5,,3.5,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Young Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-181,-16,11.2,,3.4,,,Oneota,5,1250-1560 CE,Malthusian,500,500,2-4 year old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-183,-13.7,9.1,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,2-4 year old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-185,-13.3,10.9,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Old Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-186,-9.8,9.6,,3.4,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Neonate,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-188,-10,9,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Young Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-190,-14.3,9.8,,3.1,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Young Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-191,-12.5,10.5,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Old Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-200,-12.1,9.5,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-201,-19.2,11.8,,3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,0-1 year old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-203,-10.8,9.7,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Young Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-209,-9.3,8.7,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,5-15 Years,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-216,-11.7,10.9,,3.1,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-225,-16.6,11.4,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Older Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-234,-11,9.7,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Older Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-236,-11.1,10.7,,3.1,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-243a,-11.2,10.9,,3.1,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-251,-11.1,9.6,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-254,-13.2,10.4,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-258,-11.4,10.4,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,5-15 Years,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-265,-11,11.1,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-281,-12.3,9.7,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Old Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-1,-10.8,10.6,,3.1,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Old Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-10,-9.4,10.8,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-12,-8.9,9.8,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-13A,-10.5,11.6,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Neonate,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-14,-8.6,10.4,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,5-15 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-16,-9.9,11.1,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-28,-8.5,13.3,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-1 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-30,-9,9.8,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-31,-5.9,11.8,,3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-1 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-36,-8.9,10.2,,3.5,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-39,-8.7,10,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-15 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-40,-9.4,10.6,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-44,-8.7,13.3,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,2-4 Years Old,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-50,-8.8,9.1,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-55,-9.6,10.2,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-58,-9.4,10.5,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-59,-9.4,10.5,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-1 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-60,-8.3,10,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-60A,-6.9,11.7,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-1 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-63,-10.9,10.4,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,2-4 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-66,-8.8,10.2,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-67,-11.6,8.5,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,0-15 Years,I,I,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-71,-11.9,10.2,,3.4,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-72,-10.2,10.8,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-75,-8.2,10.2,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Older Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-76,-8.9,10.4,,3.3,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Young Adult,I,F,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.86,O-77,-9,10.1,,3.2,,,Mississippian Orendorf Phase,4,1100-1300 CE,Intensification,500,800,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Orendorf,40.48,-89.95,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
